canonical_id,content_hash,model,prompt_version,schema_version,prompt_fingerprint,stage,thinking,label_status
100,18b8ca5cdc3228176a426c183dc6925eac1fb5b273ccbb416407be74e832557c,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
101,d5eccf104ce198272ea9254c911effd65813d01d5018a6beadea900e24d57a6e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
103,379ae5adf3995f9ddbb4f1ba8167a1c06d280a8f8cf6329446385dc2e70906ea,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
105,e65e25be06dba0e663ac132e345e1f90119f9fd37fd987445d20e0829c9b7ed6,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
106,85921480797f87c37df1344779f9d1ad2ed22971cf79841102d3e5cd6239eb03,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
107,60f1da5ea5016100c71efb20c68dcb30285a5372f540d42c201fd467641b7f73,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
108,5fe7101993b487acb25945a42bb966ffb843cbc0755ad6d400e404e51b78ff15,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
109,5032fa96582c9213c41fe907e50b61af51c15138c3613068a0d3b5626ea846a3,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
110,a1bdb8c70ad64ac1dcac4944d8704ea43b90b480b86f1bf62d89df4786232849,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
111,80f41fbd2d27ecc593ae9f0c44c9752043cdade650a7ef5041be1ee1b37ad33a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
112,4f4912eba609adfc8d906c990078359887e9a51568877e4158ebba9bad674127,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
113,742a08aacf7a4b9f486d123a9792048fdd4ef69d535a00465804eae7415780c9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
114,327ebb790867e860f591d755d5e8674e4a63443783e7b35a22be1c6a1837131f,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
115,00066068418c0fd4416e463582791ab70c6220dd1e410bb7dd5a97157cdba8b4,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
116,2f4b7f84d4a078e20221f63a8ddfb9e7ed12f2ddfaa0b37e0a3221ef9c47345c,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
117,0c36b9715f72342a3f32517083e6ac533d88b172a446055c53a21b235a5fb7cb,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
118,266f50f129db514be40cab9d0e11e2224cf5ceb35fc2794ec26ee1b4b1d5f2e9,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
120,7dec3881657b2d70698efbd58119113945685f5c0ac3c08c5835ef81d997d96a,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
121,1ca303299c06248d5ce0bbdf679231a7547daf577dcca2d94bb577123a0eb56c,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
122,62502dc3582509f9cc2ebe2ccabf7a8f92524c247db66fa7d59ae858b017ca8e,deepseek-v4-pro,2.0.0,2.0.0,cc4279a4171acd26684236cdb2df77a3ae19ad13aaf737bc27fa0522431095ab,primary,False,llm_primary
