canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason,candidate_stock_code,candidate_company,similarity,review_decision
364,中国平安财产保险股份有限公司河源中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
369,广东柏堡龙股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,000712.SZ,广东锦龙发展股份有限公司,78.26,rejected_auto_match
371,江西耐普矿机新材料股份有限公司,300818.SZ,耐普矿机,江西耐普矿机股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名复核,,300818.SZ,江西耐普矿机股份有限公司,88.89,accepted_reviewed_rule
374,招商银行股份有限公司咸阳分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,,600036.SH,招商银行股份有限公司,83.33,accepted_reviewed_rule
375,中国平安财产保险股份有限公司开发区支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
376,中国平安人寿保险股份有限公司北京分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
377,沈阳万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
380,中国平安人寿保险股份有限公司广东分公司财富营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601336.SH,新华人寿保险股份有限公司,75.0,accepted_reviewed_rule
382,深圳市天图投资管理股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,000570.SZ,常柴股份有限公司,77.14,rejected_auto_match
391,江苏固德威电源科技股份有限公司,688390.SH,固德威,固德威技术股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名复核,,000909.SZ,数源科技股份有限公司,85.26,accepted_reviewed_rule
393,中国平安人寿保险股份有限公司重庆分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
394,上海汇舸环保科技集团股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,603262.SH,技源集团股份有限公司,85.26,rejected_auto_match
398,中国平安人寿保险股份有限公司上海分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,601628.SH,中国人寿保险股份有限公司,77.42,accepted_reviewed_rule
399,中国平安财产保险股份有限公司肇庆中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
401,苏州晶瑞化学股份有限公司,300655.SZ,晶瑞电材,晶瑞电子材料股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名归并至晶瑞电材,,000570.SZ,常柴股份有限公司,77.14,accepted_reviewed_rule
402,中国平安财产保险股份有限公司河源中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
404,乐居控股有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,002073.SZ,软控股份有限公司,75.0,rejected_auto_match
405,深圳市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
407,武汉市万科物业服务有限公司,000002.SZ,万科A,万科企业股份有限公司,,matched,reviewed_parent_rule,high,各地万科物业归并至万科企业,,689009.SH,九号有限公司,72.0,accepted_reviewed_rule
408,大理药业股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,000650.SZ,仁和药业股份有限公司,80.0,rejected_auto_match
411,珠海健帆生物科技股份有限公司,300529.SZ,健帆生物,健帆生物科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史名称/集团化更名复核,,300529.SZ,健帆生物科技集团股份有限公司,85.71,accepted_reviewed_rule
413,中国平安财产保险股份有限公司阳江中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,,000570.SZ,常柴股份有限公司,67.5,accepted_reviewed_rule
414,上海重塑能源集团股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确匹配或已复核的母公司/曾用名规则,600753.SH,福建海钦能源集团股份有限公司,78.57,rejected_auto_match
418,重庆蓝黛动力传动机械股份有限公司,002765.SZ,蓝黛科技,蓝黛科技集团股份有限公司,制造业,matched,reviewed_name_alias,high,历史曾用名归并至蓝黛科技,,001395.SZ,亚联机械股份有限公司,80.0,accepted_reviewed_rule
