canonical_id,ad_company,stock_code,stock_name,listed_company,industry,match_status,match_method,match_confidence,match_note,unmatched_reason
167,浙江百达精工股份有限公司,603331.SH,百达精工,浙江百达精工股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
168,江苏固德威电源科技股份有限公司,688390.SH,固德威,固德威技术股份有限公司,制造业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
169,中国平安人寿保险股份有限公司佛山中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
170,宁夏嘉泽新能源股份有限公司,601619.SH,嘉泽新能,嘉泽新能源股份有限公司,电力、热力、燃气及水生产和供应业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
171,中国平安人寿保险股份有限公司广东分公司越秀二区营销服务部,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
172,中国平安财产保险股份有限公司重庆分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
173,江苏富淼科技股份有限公司,688350.SH,富淼科技,江苏富淼科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
174,中国平安财产保险股份有限公司深圳分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
175,常州时创能源股份有限公司,688429.SH,时创能源,常州时创能源股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
176,中国平安财产保险股份有限公司揭阳中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
177,中国平安财产保险股份有限公司宁波分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
178,江苏丰山集团股份有限公司,603810.SH,丰山集团,江苏丰山集团股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
179,中国平安人寿保险股份有限公司安徽分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
180,无锡信捷电气股份有限公司,603416.SH,信捷电气,无锡信捷电气股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
181,华林证券股份有限公司,002945.SZ,华林证券,华林证券股份有限公司,金融业,matched,exact_normalized,high,标准化公司全称精确匹配,
182,中国平安财产保险股份有限公司阳江中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
183,广州视源电子科技股份有限公司,002841.SZ,视源股份,广州视源电子科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
184,上海海希工业通讯股份有限公司,920405.BJ,海希通讯,上海海希工业通讯股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
185,北京中石伟业科技股份有限公司,300684.SZ,中石科技,北京中石伟业科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
186,上海银行股份有限公司,601229.SH,上海银行,上海银行股份有限公司,金融业,matched,exact_normalized,high,标准化公司全称精确匹配,
187,广州安必平医药科技股份有限公司,688393.SH,安必平,广州安必平医药科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
188,江苏大烨智能电气股份有限公司,300670.SZ,大烨智能,江苏大烨智能电气股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
189,广州方邦电子股份有限公司,688020.SH,方邦股份,广州方邦电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
190,招商银行股份有限公司台州分行,600036.SH,招商银行,招商银行股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,招商银行地方分行归并至总行,
191,深圳市力合微电子股份有限公司,688589.SH,力合微,深圳市力合微电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
192,中国平安财产保险股份有限公司清远中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
193,辽宁科隆精细化工股份有限公司,300405.SZ,科隆股份,辽宁科隆精细化工股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
194,深圳市鼎阳科技股份有限公司,688112.SH,鼎阳科技,深圳市鼎阳科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
195,中国平安人寿保险股份有限公司宁波分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
196,中国平安财产保险股份有限公司江门中心支公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
197,宁波弘讯科技股份有限公司,603015.SH,弘讯科技,宁波弘讯科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
198,广东松发陶瓷股份有限公司,603268.SH,松发股份,广东松发陶瓷股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
200,四川金石东方新材料设备股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
201,珠海雷特科技股份有限公司,920110.BJ,雷特科技,珠海雷特科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
202,中钢洛耐科技股份有限公司,688119.SH,中钢洛耐,中钢洛耐科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
203,陕西源杰半导体科技股份有限公司,688498.SH,源杰科技,陕西源杰半导体科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
204,华维设计集团股份有限公司,920427.BJ,华维设计,华维设计集团股份有限公司,科学研究和技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
205,上海电影股份有限公司,601595.SH,上海电影,上海电影股份有限公司,文化、体育和娱乐业,matched,exact_normalized,high,标准化公司全称精确匹配,
206,湖北东贝机电集团股份有限公司,601956.SH,东贝集团,湖北东贝机电集团股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
207,易点天下网络科技股份有限公司,301171.SZ,易点天下,易点天下网络科技股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
208,四川观想科技股份有限公司,301213.SZ,观想科技,四川观想科技股份有限公司,信息传输、软件和信息技术服务业,matched,exact_normalized,high,标准化公司全称精确匹配,
209,广发证券股份有限公司,000776.SZ,广发证券,广发证券股份有限公司,,matched,exact_normalized,high,标准化公司全称精确匹配,
210,浙江海象新材料股份有限公司,003011.SZ,海象新材,浙江海象新材料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
211,重庆顺博铝合金股份有限公司,002996.SZ,顺博合金,重庆顺博铝合金股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
212,广州市聚赛龙工程塑料股份有限公司,301131.SZ,聚赛龙,广州市聚赛龙工程塑料股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
213,宁夏嘉泽新能源股份有限公司,601619.SH,嘉泽新能,嘉泽新能源股份有限公司,电力、热力、燃气及水生产和供应业,matched,unique_short_name,medium,唯一证券简称包含匹配，已保留方法供复核,
214,翰博高新材料(合肥)股份有限公司,301321.SZ,翰博高新,翰博高新材料(合肥)股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
216,江苏南方卫材医药股份有限公司,603880.SH,南卫股份,江苏南方卫材医药股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
217,东兴证券股份有限公司,601198.SH,东兴证券,东兴证券股份有限公司,金融业,matched,exact_normalized,high,标准化公司全称精确匹配,
218,无锡宏盛换热器制造股份有限公司,603090.SH,宏盛股份,无锡宏盛换热器制造股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
219,中国平安财产保险股份有限公司宁波分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
220,杉杉品牌运营股份有限公司,,,,,unmatched,unmatched,low,,无可靠的精确、母公司规则或唯一简称匹配
221,南通海星电子股份有限公司,603115.SH,海星股份,南通海星电子股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
222,中国平安财产保险股份有限公司苏州分公司,601318.SH,中国平安,中国平安保险(集团)股份有限公司,金融、保险业,matched,reviewed_parent_rule,high,平安寿险/财险归并至中国平安集团,
223,浙江迎丰科技股份有限公司,605055.SH,迎丰股份,浙江迎丰科技股份有限公司,制造业,matched,exact_normalized,high,标准化公司全称精确匹配,
